Alpha Expression,,,std(top_n(*(returns,volume)))
Tree Structure,,,
,,,└── Op: std
,,,    └── └── Subset: top_n
,,,    └──     └── └── Op: *
,,,    └──     └──     ├── └── Data: returns
,,,    └──     └──     └── └── Data: volume

Alpha Metrics
Metric,Training,Validation
mean_ic,0.09660065220544513,0.08280618518985557
information_ratio,0.2490670997338398,0.22459941493789815
ic_std,0.3878499099587032,0.368683886432881
percent_positive_ic,59.64125560538116,58.56164383561644

Strategy Metrics
Metric,Training,Validation
mean_return,2.6086286765663718,3.522363590125005
volatility,0.3822559035968175,0.4637866149562042
sharpe_ratio,6.824299250896096,7.594793546289871
max_drawdown,-0.1650091453708612,-0.20748067603640785
hit_ratio,68.22222222222221,71.0
turnover,242.97740759756897,241.2351781193226
